id,text,text_el,is_criticism,is_criticism_corrected,topic-context,topic-context_corrected,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
26,"Well, if we want to become Europe, it's not enough to stay where we are. We need to reverse Greece's divergence from the core of European countries. This requires a new national plan to support social infrastructure and strong strategic public and private investment strategies. The programme of SYRIZA - Progressive Alliance is precisely this plan. It has at its core the utilization of human potential, modernity, and social justice. It advocates a new model of economic development that respects the environment and the natural resources of our country, makes room for innovation and knowledge, and promotes the fair distribution of resources while reducing inequalities. It supports the needs of society, wage labor, small and medium-sized enterprises, farmers, stockbreeders, and young people, while closing the door to the logic of state-led entrepreneurship.","Λοιπόν, αν θέλουμε να γίνουμε Ευρώπη, δεν αρκεί που μείναμε, πρέπει να αντιστραφεί αυτή η πορεία απόκλισης της Ελλάδας από τον πυρήνα των ευρωπαϊκών χωρών. Και γι' αυτό απαιτείται ένα νέο εθνικό σχέδιο στήριξης των κοινωνικών υποδομών και ισχυρών στρατηγικών δημόσιων και ιδιωτικών επενδύσεων. Και αυτό το σχέδιο, ακριβώς αυτό το σχέδιο, είναι το πρόγραμμα του ΣΥΡΙΖΑ-Προοδευτική Συμμαχία. Ένα πρόγραμμα κι ένα σχέδιο που έχει στον πυρήνα του την αξιοποίηση του ανθρώπινου δυναμικού, τη νεωτερικότητα, την κοινωνική δικαιοσύνη. Που προτάσσει ένα νέο μοντέλο οικονομικής ανάπτυξης, με σεβασμό στο περιβάλλον και τους φυσικούς πόρους της πατρίδας μας, δίνοντας χώρο στην καινοτομία, τη γνώση, τη δίκαιη κατανομή των πόρων, τον περιορισμό των ανισοτήτων. Στηρίζοντας τις ανάγκες της κοινωνίας, της μισθωτής εργασίας, της μικρομεσαίας επιχειρηματικότητας, των αγροτών, των κτηνοτρόφων, των νέων ανθρώπων και κλείνοντας την πόρτα στην λογική της κρατικοδίαιτης επιχειρηματικότητας. ",political agenda,,economy,,other,0.3,0.1,0,"[['greece', 'location', '0.9'], ['europe', 'location', '0.9'], ['syriza - progressive alliance', 'political party', '0.9'], ['social infrastructure', 'organization', '0.7'], ['public investment strategies', 'organization', '0.6'], ['private investment strategies', 'organization', '0.6'], ['wage labor', 'group of people', '0.6'], ['small and medium-sized enterprises', 'organization', '0.6'], ['farmers', 'group of people', '0.6'], ['stockbreeders', 'group of people', '0.6'], ['young people', 'group of people', '0.6'], ['state-led entrepreneurship', 'organization', '0.6']]"
27,"Of the first 600 million euros of loans from the Recovery Fund, not a single euro was given to small and medium-sized enterprises for healthy entrepreneurship. It all went to ten strong, big businesses that have access to lending, so they can borrow at a cheaper rate. This is not the future of sustainable and fair development in the country. Instead, it is closing the door on the logic that investment is about taking over operating businesses and also privatization. These are not strategic investments that leave a productive footprint.","Από τα 600 πρώτα εκατομμύρια δανεισμού του Ταμείου Ανάκαμψης, δεν πήρε ούτε ένα ευρώ η μικρομεσαία επιχείρηση, η υγιής επιχειρηματικότητα. Όλα πήγαν σε δέκα ισχυρές, μεγάλες επιχειρήσεις που έχουν πρόσβαση στον δανεισμό, για να μπορέσουν να δανειστούν φθηνότερα. Δεν είναι αυτό το μέλλον μιας βιώσιμης και δίκαιης ανάπτυξης στον τόπο. Κλείνοντας όμως την πόρτα και στη λογική ότι επενδύσεις είναι οι εξαγορές επιχειρήσεων που λειτουργούν αλλά και οι ιδιωτικοποιήσεις. Δεν είναι αυτές στρατηγικές επενδύσεις που αφήνουν παραγωγικό αποτύπωμα.",criticism,,economy,entrepreneurship,other,-0.8,0.1,0.1,"[['recovery fund', 'organization', '1.0'], ['small and medium-sized enterprises', 'group of people', '1.0'], ['big businesses', 'group of people', '0.8'], ['lending', 'organization', '0.6'], ['country', 'location', '1.0'], ['privatization', 'organization', '0.6'], ['strategic investments', 'organization', '0.6'], ['productive footprint', 'organization', '0.6']]"
28,"We have a program that calls for a different productive model, one that is fair, inclusive, and sustainable. The program advocates for addressing poverty by strengthening incomes, including an immediate increase of the minimum wage to 880 euros and the introduction of annual indexation. Additionally, civil servants who have not seen an increase in 14 years should receive a 10% salary increase.","Εμείς λοιπόν έχουμε ένα πρόγραμμα το οποίο ζητά ένα άλλο παραγωγικό μοντέλο, μια δίκαιη, συμπεριληπτική και βιώσιμη ανάπτυξη. Ένα πρόγραμμα που προτάσσει την αντιμετώπιση της ακρίβειας με την ενίσχυση των εισοδημάτων. Την αύξηση του κατώτατου μισθού στα 880 ευρώ άμεσα, και τη θέσπιση της ετήσιας τιμαριθμικής αναπροσαρμογής. Την αύξηση κατά 10% στους μισθούς των δημοσίων υπαλλήλων, που έχουν να δουν αύξηση 14 χρόνια.",political agenda,,employment,,other,0.8,0,0,"[['program', 'organization', '0.6'], ['minimum wage', 'group of people', '1.0'], ['civil servants', 'group of people', '1.0'], ['salary increase', 'group of people', '0.6'], ['euros', 'currency', '1.0']]"
29,"The return of the 13th pension, the payment of retroactive pension to pensioners, and the reason why Justice decided to grant a 7.5% increase to all pensioners, including those with personal differences.","Την επιστροφή της 13ης σύνταξης, την καταβολή των αναδρομικών των συνταξιούχων, γιατί αποφάσισε η Δικαιοσύνη την απόδοση της αύξησης του 7,5% σε όλους τους συνταξιούχους και σε όσους έχουν την προσωπική διαφορά.",political agenda,,other,pensioners,pensions,,0,0,"[['justice', 'organization', '0.5'], ['7.5%', 'date', '0.5']]"
30,"A program that advocates for the reduction of indirect taxes, including VAT on foodstuffs and excise duty on fuel.","Ένα πρόγραμμα που προτάσσει τη μείωση των έμμεσων φόρων, του ΦΠΑ στα τρόφιμα, του Ειδικού Φόρου Κατανάλωσης στα καύσιμα. ",political agenda,,economy,,tax cuts,0.5,0,0,[]
31,"They are not going to drive us crazy here in Greece by lying to us like Trump in America and making the lie seem true that indirect taxes favor the poor. If we reduce them, we will favor the rich. We need a program that dares to get its hands on the super-profits of the energy and refinery giants who have made the crisis an opportunity for enrichment and have accumulated over 6 billion in super-profits in the last year.","Δεν θα μας τρελάνουν εμάς εδώ στην Ελλάδα, λέγοντάς μας ψέματα όπως ο Τραμπ στην Αμερική, κάνοντας το ψέμα να φαίνεται αλήθεια, ότι οι έμμεσοι φόροι ευνοούν τους φτωχούς και αν τους μειώσουμε θα ευνοήσουμε τους πλούσιους. Κι ένα πρόγραμμα που τολμά να βάλει χέρι στα υπερκέρδη, στην αισχροκέρδεια των κολοσσών της ενέργειας και των διυλιστηρίων, που έκαναν την κρίση ευκαιρία πλουτισμού και συσσώρευσαν πάνω από 6 δισ. υπερκέρδη τον τελευταίο χρόνο.",political agenda,,other,energy,energy crisis,-0.6,0.2,0,"[['greece', 'location', '1.0'], ['trump', 'person', '1.0'], ['america', 'country', '1.0'], ['energy and refinery giants', 'organization', '1.0']]"
32,"A program that, in addition to the reconstruction of the NHS, which is our central priority, strengthens public education with quality public schools and universities, emphasizes research to give young people the prospect of staying in the country, and puts forward a strong social protection grid for children, mothers, young couples, the elderly, and the disabled.","Ένα πρόγραμμα που πέρα από την ανασυγκρότηση του ΕΣΥ, που αποτελεί κεντρική μας προτεραιότητα, πέρα από την ενίσχυση της δημόσιας εκπαίδευσης, με ποιοτικά δημόσια σχολεία και πανεπιστήμια, πέρα από την έμφαση στην έρευνα για να δώσουμε προοπτική στους νέους ανθρώπους να μείνουν στη χώρα, είναι ένα κι ένα πρόγραμμα που προτάσσει ένα ισχυρό πλέγμα κοινωνικής προστασίας. Για το παιδί, για τις μητέρες, για τα νέα ζευγάρια, για τους ηλικιωμένους, για τα άτομα με αναπηρία.",political agenda,,education,social state,higher education,0.8,0,0,"[['nhs', 'organization', '1.0'], ['public schools', 'organization', '1.0'], ['universities', 'organization', '1.0'], ['research', 'organization', '0.9'], ['young people', 'group of people', '0.9'], ['country', 'location', '1.0'], ['children', 'group of people', '0.9'], ['mothers', 'group of people', '0.9'], ['young couples', 'group of people', '0.9'], ['elderly', 'group of people', '0.9'], ['disabled', 'group of people', '0.9.']]"
33,"Finally, it advocates protecting primary residences, commercial housing, and agricultural land, as well as addressing the housing crisis, in order to prevent the largest redistribution of property in our country since World War II in favor of a few and foreign interests. This is what Mr. Mitsotakis is planning with funds and auctions.","Προτάσσει, τέλος, την προστασία της πρώτης κατοικίας, της επαγγελματικής στέγης και της αγροτικής γης και την αντιμετώπιση της στεγαστικής κρίσης, για να αποτραπεί η μεγαλύτερη αναδιανομή περιουσίας που έχει γίνει στον τόπο μας από τον Β’ Παγκόσμιο Πόλεμο και μετά, υπέρ ολίγων και ξένων συμφερόντων. Γιατί αυτό σχεδιάζει ο κ. Μητσοτάκης με τα funds και τους πλειστηριασμούς.",criticism,political agenda,housing,,home protection,-0.6,0,0.1,"[['mitsotakis', 'person', '1.0'], ['world war ii', 'date', '1.0']]"
34,"Finally, it proposes a strong, modern, and effective state with meritocracy and accountability, which will not be a party or family spoils but will be a tool for development and service to citizens. Not the state that collapsed in Tempe three months ago and put ministers on the TV channels telling obscene lies. No, we will not forget this crime! The 57 souls are asking for justice. And we will fight. This is our promise to the parents of the unfortunate children, but also to the young men and women of our country who must never again experience such a tragedy. We will fight for justice and a state that stands by the citizen. Not an enemy of the citizen. Not a state dangerous to the citizen.","Προτάσσει, τέλος, κι ένα κράτος ισχυρό, σύγχρονο αποτελεσματικό με αξιοκρατία και λογοδοσία, που δεν θα αποτελεί λάφυρο κομματικό ή οικογενειακό, αλλά θα είναι εργαλείο ανάπτυξης και εξυπηρέτησης των πολιτών. Όχι το κράτος που κατέρρευσε στα Τέμπη πριν από τρεις μήνες και έβγαζε τους υπουργούς στα κανάλια να λένε αισχρά ψέματα. Όχι, δεν θα ξεχάσουμε αυτό το έγκλημα! Ζητάνε δικαίωση οι 57 ψυχές. Και θα αγωνιστούμε. Αυτή είναι η υπόσχεσή μας προς τους γονείς των αδικοχαμένων παιδιών, αλλά και προς τους νέους και τις νέες του τόπου μας, που δεν πρέπει να ζήσουν ποτέ ξανά μια τέτοια τραγωδία. Θα αγωνιστούμε για να υπάρξει δικαίωση και ένα κράτος δίπλα στον πολίτη. Όχι εχθρός του πολίτη. Όχι ένα κράτος επικίνδυνο για τον πολίτη.",criticism,political agenda,accountability,justice,other,0.75,0.2,0,"[['tempe', 'location', '0.8'], ['57', 'group of people', '0.7'], ['citizens', 'group of people', '0.5'], ['parent', 'person', '0.6'], ['young men', 'group of people', '0.6'], ['women', 'group of people', '0.6'], ['country', 'location', '0.8']]"
35,"So, citizens of Athens, my friends, we contrast this programme with the programme and plan of New Democracy, which, I repeat, is the one that was submitted in Brussels, supplemented by Mr. Pneimatikos' plan for the NHS.","Αυτό λοιπόν το πρόγραμμα, πολίτες της Αθήνας, φίλες και φίλοι, αντιπαραθέτουμε στο πρόγραμμα και στο σχέδιο της Νέας Δημοκρατίας, που, επαναλαμβάνω, είναι αυτό που κατατέθηκε στις Βρυξέλλες, συμπληρωμένο από το σχέδιο του κ. Πνευματικού για το ΕΣΥ.",criticism,,health,,other,0,0,0,"[['athens', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['brussels', 'location', '1.0'], ['nhs', 'organization', '1.0'], ['pneimatikos', 'person', '0.8']]"
36,"We have insisted very much, as you will have seen, in this election, that there should be a confrontation of programs, a confrontation of strategies, concepts, ideas, and visions, so that citizens can compare, judge soberly, and with knowledge of the objective differences between the different alternative plans. On the contrary, our political opponent, New Democracy, has once again designed and implemented a toxic strategy, investing in fake news, constantly diverting public debate from the real issues at stake, and not even hesitating to throw sensitive national issues, such as Thrace and the minority, into the electoral arena. Armed with their audacity, lies, and the NIS, which they turned into a tool for serving party and personal interests, they did not even hesitate to take the country back, way back, to the years and the paths of the Schism. ""National exception,"" they said, is SYRIZA-Progressive Alliance. Its MPs and voters are ""bequeathers."" Half of them are ""nationalists,"" and the other half of Greeks are ""of reduced national consciousness."" They evoked memories of the darkest years of the Schism. As if this is not New Democracy, but the ERE of the 1950s. As if we were in the period of the National Schism.","Επιμείναμε πολύ, όπως θα είδατε, σε αυτή την εκλογική αναμέτρηση, να υπάρξει αντιπαράθεση προγραμμάτων, να υπάρξει αντιπαράθεση στρατηγικών, αντιλήψεων, ιδεών, οραμάτων, ώστε να μπορέσουν να συγκρίνουν οι πολίτες, κρίνοντας νηφάλια και με γνώση των αντικειμενικών διαφορών μεταξύ των διαφορετικών εναλλακτικών σχεδίων. Αντιθέτως, ο πολιτικός μας αντίπαλος, η Νέα Δημοκρατία, σχεδίασε και υλοποίησε για μια ακόμη φορά μια τοξική στρατηγική, επενδύοντας στα fake news, αποπροσανατολίζοντας συνεχώς τη δημόσια συζήτηση από τα πραγματικά επίδικα και μη διστάζοντας ακόμα και να ρίξει στην προεκλογική αρένα ευαίσθητα εθνικά θέματα, όπως αυτό της Θράκης και της μειονότητας. Με όπλο τους το θράσος, το ψέμα και την ΕΥΠ, που την μετέτρεψαν σε εργαλείο εξυπηρέτησης κομματικών και προσωπικών σκοπιμοτήτων, δεν δίστασαν ακόμη και να γυρίσουν τη χώρα πίσω, πολύ πίσω, στα χρόνια και στα μονοπάτια του Διχασμού. “Εθνική εξαίρεση”, είπαν, είναι ο ΣΥΡΙΖΑ-Προοδευτική Συμμαχία. “Μειοδότες” οι βουλευτές και οι ψηφοφόροι του. “Εθνικόφρονες” οι μισοί και “μειωμένης εθνικής συνείδησης” οι άλλοι μισοί Έλληνες. Ξύπνησαν μνήμες από τα πιο σκοτεινά χρόνια του Διχασμού. Λες και αυτή δεν είναι η Νέα Δημοκρατία, αλλά η ΕΡΕ της δεκαετίας του ’50. Λες και βρισκόμαστε στην περίοδο του Εθνικού Διχασμού.",criticism,,other,democracy,other,-0.8,0.9,0,"[['we', 'person', '0.9'], ['election', 'date', '0.7'], ['programs', 'group of people', '0.4'], ['strategies', 'group of people', '0.4'], ['concepts', 'group of people', '0.4'], ['ideas', 'group of people', '0.4'], ['visions', 'group of people', '0.4'], ['citizens', 'group of people', '0.5'], ['new democracy', 'political party', '0.9'], ['thrace', 'location', '0.7'], ['syriza-progressive alliance', 'political party', '0.7'], ['ere', 'political party', '0.5'], ['national schism', 'event', '0.6']]"
37,"But they have learned the lesson they deserved, a lesson of national responsibility, patriotism, and democratic sensitivity from SYRIZA - Progressive Alliance. Mr. Mitsotakis wanted to vilify us and our minority MPs, and he finally vilified his own minority candidate. He made him a scapegoat, as is his wont. And it went downhill to the point of sending Mrs. Bakoyianni to Thrace, not to unite but to divide. Not to reassure but to threaten. And to come out in front of the cameras with the audacity to threaten and terrorize poor and frightened people: ""If you don't vote the right way this time, you're going to have four hard years."" That was her message. And that message was not a message for the minority. It was and is a message that they wanted to go to every citizen, every home, every social group, every citizen who would think of standing up to their party and family power.","Πήραν όμως το μάθημα που τους άξιζε. Ένα μάθημα εθνικής ευθύνης, πατριωτισμού, αλλά και δημοκρατικής ευαισθησίας από τον ΣΥΡΙΖΑ- Προοδευτική Συμμαχία. Εμάς και τους μειονοτικούς βουλευτές μας ήθελε να διασύρει ο κ. Μητσοτάκης, και διέσυρε τελικά τον δικό του μειονοτικό υποψήφιο. Αποδιοπομπαίο τράγο τον έκανε, όπως το συνηθίζει άλλωστε. Κι έφτασε ο κατήφορος μέχρι το σημείο να στείλει στη Θράκη την κυρία Μπακογιάννη όχι για να ενώσει, αλλά για να διχάσει. Όχι για να καθησυχάσει, αλλά για να απειλήσει. Και να βγει μπροστά στις κάμερες με θράσος να απειλήσει και να τρομοκρατήσει φτωχούς και φοβισμένους ανθρώπους: «Αν δεν ψηφίσετε σωστά τούτη τη φορά, θα περάσετε τέσσερα δύσκολα χρόνια». Αυτό ήταν το μήνυμά της. Και το μήνυμα αυτό δεν ήταν ένα μήνυμα για τη μειονότητα. Ήταν και είναι μήνυμα που ήθελαν να πάει σε κάθε πολίτη, σε κάθε σπίτι, σε κάθε κοινωνική ομάδα, σε κάθε πολίτη που θα διανοηθεί να σταθεί απέναντι στην κομματική και οικογενειακή τους εξουσία.",criticism,,other,democracy,election spending,-0.7,0.5,0,"[['syriza - progressive alliance', 'organization', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['minority mps', 'group of people', '0.6'], ['minority candidate', 'person', '0.9'], ['mrs. bakoyianni', 'person', '1.0'], ['thrace', 'location', '0.8'], ['four hard years', 'date', '0.6']]"
38,"So today, we are sending a message to everyone from Syntagma Square: We do not play with the homeland! Greece is not expendable for us, nor do we put it up for sale for a few thousand votes. As always, we put patriotic responsibility above party and personal interests. We will protect and defend democracy to the end. We will stand here, strong and resolute, to support every social group and citizen threatened by the regime mentality of an unaccountable power. Today it is the minority, tomorrow it will be the workers, wage earners, nurses, teachers, delinquents, cultural workers, and young people. We will stand up against the practices of terror and intimidation of every social category. We will stand by every citizen and every social group that is threatened and wants to resist the plans to flatten it. If they threaten you that you will have four difficult years, we are here to guarantee that we will be by your side so that these four years will be four years of struggle and dignity for your rights!","Στέλνουμε λοιπόν σήμερα κι εμείς όμως από δω, από την πλατεία Συντάγματος, ένα μήνυμα προς όλους: Εμείς με τη πατρίδα δεν παίζουμε! Δεν είναι αναλώσιμη για μας η Ελλάδα, ούτε τη βγάζουμε στο παζάρι για λίγες χιλιάδες ψήφους. Εμείς, όπως πάντα, βάζουμε την πατριωτική ευθύνη πάνω από τα κομματικά και προσωπικά συμφέροντα. Και τη Δημοκρατία θα την προστατεύσουμε και θα την υπερασπιστούμε μέχρι τέλους. Θα είμαστε εδώ όρθιοι και δυνατοί, για να σταθούμε δίπλα σε κάθε κοινωνική ομάδα, σε κάθε πολίτη που απειλείται από την καθεστωτική νοοτροπία μιας ασύδοτης εξουσίας, ενός καθεστώτος. Σήμερα είναι η μειονότητα, αύριο θα είναι οι εργαζόμενοι, οι μισθωτοί, οι νοσηλευτές, οι εκπαιδευτικοί, οι ντελιβεράδες, οι εργαζόμενοι στον πολιτισμό, οι νέες και οι νέοι. Θα είμαστε απέναντι στις πρακτικές τρομοκράτησης και εκφοβισμού κάθε κοινωνικής κατηγορίας. Θα είμαστε δίπλα σε κάθε πολίτη! Σε κάθε κοινωνική ομάδα που απειλείται και που θέλει να αντισταθεί στα σχέδια της ισοπέδωσής του. Αν αυτοί σας απειλούν ότι θα περάσετε τέσσερα δύσκολα χρόνια, εμείς είμαστε εδώ για να εγγυηθούμε πως θα είμαστε δίπλα σας ώστε αυτά τα τέσσερα χρόνια να είναι τέσσερα χρόνια αγώνα και αξιοπρέπειας για τα δικαιώματά σας!",political agenda,,democracy,,other,0.6,0.6,0.2,"[['syntagma square', 'location', '1.0'], ['greece', 'country', '1.0'], ['democracy', 'organization', '0.7'], ['regime', 'organization', '0.8'], ['workers', 'group of people', '0.8'], ['wage earners', 'group of people', '0.7'], ['nurses', 'group of people', '0.7'], ['teachers', 'group of people', '0.7'], ['delinquents', 'group of people', '0.7'], ['cultural workers', 'group of people', '0.7'], ['young people', 'group of people', '0.7']]"
39,"Dear friends, comrades, and citizens of Athens, Sunday's election is not a continuation of the previous one; it is a new contest. The dilemmas this time are tough, but we are not the ones making them. The electoral system of enhanced proportional representation, which gives 50 bonus seats to the first party, sets the dilemmas. The Greek people will have to choose between two programs and two alternative strategies on Sunday. Our strategy is one of strong democracy, pluralism, civil society, participation, accountability, meritocracy, inclusion, and dialogue. That is our strategy.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, πολίτες της Αθήνας, η εκλογική αναμέτρηση της Κυριακής δεν είναι συνέχεια της προηγούμενης. Είναι μια καινούργια αναμέτρηση. Και τα διλήμματα αυτή τη φορά είναι σκληρά. Δεν τα βάζουμε εμείς. Το εκλογικό σύστημα της ενισχυμένης αναλογικής, που δίνει 50 έδρες μπόνους στο πρώτο κόμμα, τα βάζει τα διλήμματα. Και στην κρίση του ελληνικού λαού την Κυριακή είναι αυτά τα δύο προγράμματα αλλά και οι δυο εναλλακτικές στρατηγικές. Η δική μας στρατηγική είναι στρατηγική της ισχυρής Δημοκρατίας, του πλουραλισμού, της κοινωνίας των πολιτών, της συμμετοχής, της λογοδοσίας, της αξιοκρατίας, της συμπερίληψης και του διαλόγου. Αυτή είναι η δική μας στρατηγική.",political agenda,,democracy,elections,other,0.4,0.2,0,"[['athens', 'location', '1.0'], ['greek', 'country', '1.0'], ['sunday', 'date', '1.0'], ['first party', 'group of people', '1.0'], ['greek people', 'group of people', '1.0']]"
40,"The strategy of New Democracy is the opposite. Its program copies the plans of neoliberalism, and its strategy copies the plans of Machiavelli. Their strategy and plan are not only to win the elections but, above all, to weaken their only real opponent because they fear only one: SYRIZA-Progressive Alliance.","Η στρατηγική της Νέας Δημοκρατίας βρίσκεται στον αντίποδα. Το πρόγραμμά της αντιγράφει τα σχέδια του νεοφιλελευθερισμού και η στρατηγική της αντιγράφει τα σχέδια του Μακιαβέλι. Γιατί στρατηγική και σχέδιο τους δεν είναι μόνο να κερδίσουν τις εκλογές, αλλά κυρίως να αποδυναμώσουν τον μόνο στ’ αλήθεια αντίπαλό τους, γιατί μόνο έναν φοβούνται: Τον ΣΥΡΙΖΑ-Προοδευτική Συμμαχία.",criticism,,elections,,other,-0.5,0.8,0.3,"[['new democracy', 'organization', '0.9'], ['neoliberalism', 'organization', '0.6'], ['machiavelli', 'person', '0.8'], ['syriza-progressive alliance', 'political party', '0.9.']]"
41,"Because we have proven for more than ten years now that we are the only political force that, with its program and its vigor, can confront the neoliberal project, the conservative policies, and the policies of New Democracy and oppose them. That is why we remain the only force that can confront and prevent them from setting up an uncontrolled regime, as they seek to do on Monday.","Γιατί εμείς έχουμε αποδείξει πάνω από δέκα χρόνια τώρα πως είμαστε η μόνη πολιτική δύναμη που με το πρόγραμμα και με το σθένος της μπορεί να κοιτάξει στα μάτια και να αντιπαρατεθεί με το νεοφιλελεύθερο σχέδιο, με τις συντηρητικές πολιτικές, με τις πολιτικές της Νέας Δημοκρατίας. Γι' αυτό και παραμένουμε η μόνη δύναμη που μπορεί τη Δευτέρα να αντιμετωπίσουμε και να εμποδίσουμε να στήσουν ένα ανεξέλεγκτο καθεστώς, όπως επιδιώκουν.",criticism,political agenda,democracy,elections,other,0.5,0.6,0.2,[]
42,"The goal of Mr Mitsotakis and New Democracy, after the simple proportional representation ballot - which led to an obvious fragmentation of the progressive parties' forces - is to maintain this fragmentation the next day, in order to have a fragmented and powerless opposition. With many small parties in parliament, this does not stop them. Their plan is to discredit it. They say so openly and show it many times by favoring certain parties that help this design. But why do they do this? Because a degraded parliament with an ineffective opposition is the best condition not for a government that wants to govern democratically, but for a regime. The logic of divide and rule. This is the logic and strategy of New Democracy.","Στόχος του κ. Μητσοτάκη και της Νέας Δημοκρατίας, μετά την κάλπη της απλής αναλογικής -που οδήγησε σ’ έναν προφανή κατακερματισμό τις δυνάμεις των προοδευτικών κομμάτων- στόχος τους είναι την επόμενη μέρα αυτός ο κατακερματισμός να διατηρηθεί, για να έχουν μια κατακερματισμένη και ανίσχυρη αντιπολίτευση. Με πολλά μικρά κόμματα στη Βουλή, δεν τους εμποδίζει αυτό. Σχέδιο τους είναι για να την απαξιώσουν. Αυτό επιδιώκουν, το λένε ανοιχτά. Και το δείχνουν πολλές φορές ευνοώντας στην πράξη συγκεκριμένα κόμματα, που βοηθούν αυτό τον σχεδιασμό. Γιατί όμως το κάνουν αυτό; Γιατί ένα υποβαθμισμένο κοινοβούλιο με μια αναποτελεσματική αντιπολίτευση, είναι η καλύτερη προϋπόθεση όχι μιας κυβέρνησης που θέλει να κυβερνήσει δημοκρατικά, αλλά ενός καθεστώτος. Η λογική «διαίρει και βασίλευε». Αυτή είναι η λογική και η στρατηγική της Νέας Δημοκρατίας.",criticism,,democracy,elections,other,-0.8,0,0,"[['mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['progressive parties', 'group of people', '1.0'], ['parliament', 'organization', '1.0'], ['regime', 'organization', '1.0'], ['greece', 'country', '1.0']]"
43,"Today, from Constitution Square, the square of popular struggles and democracy, I would like to address the democratic people of the country, every progressive and democratic citizen, whatever they voted in the May elections, at this ballot box, to support democracy. Support the stability and health of democracy and our political system, and put a brake on the creation of an uncontrolled regime. I call on every democratic, progressive citizen to support a project of justice against the project of reduced wages, reduced rights, reduced expectations. Support the upgrading of public education and its officials, and stand up against the plan for supermarket universities and an education that depends on everyone's wallet, against the plan to revise Article 16, so that education, too, becomes a place of speculation for big interests.","Θέλω λοιπόν σήμερα από εδώ, από την Πλατεία Συντάγματος, την πλατεία των λαϊκών αγώνων και της Δημοκρατίας, να απευθυνθώ και να καλέσω τον δημοκρατικό κόσμο της χώρας, κάθε προοδευτικό και δημοκρατικό πολίτη, ό,τι κι αν ψήφισε στις εκλογές του Μάη, σε αυτή την κάλπη να στηρίξει τη Δημοκρατία. Να στηρίξει τη σταθερότητα και την υγεία της Δημοκρατίας και του πολιτικού μας συστήματος. Και να βάλει φρένο στη δημιουργία ενός ανεξέλεγκτου καθεστώς. Καλώ κάθε δημοκρατικό, προοδευτικό πολίτη να στηρίξει ένα σχέδιο δικαιοσύνης απέναντι στο σχέδιο των μειωμένων μισθών, των μειωμένων δικαιωμάτων, των μειωμένων προσδοκιών. Να στηρίξει την αναβάθμιση της δημόσιας Παιδείας και των λειτουργών της, και να σταθεί απέναντι στο σχέδιο για πανεπιστήμια-σούπερ μάρκετ και μια Παιδεία που θα εξαρτάται από το πορτοφόλι του καθενός, στο σχέδιο για την αναθεώρηση του άρθρου 16, για να γίνει και η Παιδεία χώρος κερδοσκοπίας των μεγάλων συμφερόντων. ",political agenda,,education,elections,other,0.8,0.9,0.2,"[['constitution square', 'location', '1.0'], ['may', 'date', '1.0'], ['article 16', 'organization', '1.0']]"
44,"They started with the minimum input base. They want to complete it at a time when departments and schools in the districts are closing. They dream of 180 MPs to revise Article 16. And if they don't have enough, he says they will have the complicity of PASOK's Androulakis as their advocate. He was quick to advance his cooperation in the revision of Article 16. We call on every democratic citizen to support the upgrading of public education.","Ξεκίνησαν με την ελάχιστη βάση εισαγωγής. Θέλουν να το ολοκληρώσουν, τη στιγμή που κλείνουν Τμήματα και Σχολές στις Περιφέρειες, αυτοί ονειρεύονται 180 Βουλευτές για να αναθεωρήσουν το άρθρο 16. Και αν δεν τους φτάσουν ,λέει, θα έχουν και ως συνήγορο, θα έχουν τη συνέργεια του ΠΑΣΟΚ του κ. Ανδρουλάκη. Που έσπευσε να προκαταβάλλει τη σύμπραξή του στην αναθεώρηση του άρθρου 16. Εμείς λοιπόν καλούμε κάθε δημοκρατικό πολίτη να στηρίξει την αναβάθμιση της δημόσιας Παιδείας. ",political agenda,criticism,education,,academic research,0,0,0,"[['pasok', 'organization', '0.8'], ['androulakis', 'person', '0.6'], ['180 mps', 'group of people', '0.7'], ['article 16', 'political party', '0.4'], ['districts', 'location', '0.5'], ['public education', 'organization', '0.4']]"
45,"To uphold the dignity and security of work, against the plan that consigns Greeks to cheap labor in a Greece that is turning its children away. To support the prospect of a just society, against the plan and the prospect of a society of exclusion, inequality, discrimination, and bribery.","Να στηρίξει την αξιοπρέπεια και την ασφάλεια της εργασίας, απέναντι στο σχέδιο που προορίζει τους Έλληνες και τις Ελληνίδες για φτηνή εργατική δύναμη σε μια Ελλάδα που διώχνει τα παιδιά της. Να στηρίξει την προοπτική μιας δίκαιης κοινωνίας, απέναντι στο σχέδιο και την προοπτική μιας κοινωνίας αποκλεισμών, ανισότητας, διακρίσεων και ρουσφετιού.",political agenda,,employment,,working class,0.53,0.6,0.2,"[['greeks', 'location', '0.8'], ['greece', 'country', '0.7']]"
